,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-10-30,211.149994,215.17999300000002,209.270004,213.30000299999998,210.04064900000003,36660000
1,2018-10-31,216.88000499999998,220.44999700000002,216.61999500000002,218.86000099999998,215.515686,38358900
2,2018-11-01,219.05000299999998,222.36000099999998,216.809998,222.22000099999997,218.824341,58323200
3,2018-11-02,209.550003,213.649994,205.429993,207.479996,204.30957,91328700
4,2018-11-05,204.300003,204.389999,198.169998,201.58999599999999,198.50958300000002,66163700
5,2018-11-06,201.919998,204.720001,201.690002,203.770004,200.656265,31882900
6,2018-11-07,205.970001,210.059998,204.130005,209.94999700000002,206.741821,33424400
7,2018-11-08,209.979996,210.11999500000002,206.75,208.490005,206.020493,25362600
8,2018-11-09,205.550003,206.009995,202.25,204.470001,202.048096,34365800
9,2018-11-12,199.0,199.850006,193.78999299999998,194.169998,191.870087,51135500
10,2018-11-13,191.630005,197.179993,191.449997,192.229996,189.953079,46882900
11,2018-11-14,193.899994,194.479996,185.929993,186.800003,184.587402,60801000
12,2018-11-15,188.389999,191.970001,186.899994,191.41000400000001,189.142792,46478800
13,2018-11-16,190.5,194.970001,189.46000700000002,193.529999,191.237686,36928300
14,2018-11-19,190.0,190.699997,184.990005,185.860001,183.658539,41925300
15,2018-11-20,178.369995,181.470001,175.509995,176.979996,174.883713,67825200
16,2018-11-21,179.729996,180.270004,176.550003,176.779999,174.686081,31124200
17,2018-11-23,174.940002,176.600006,172.100006,172.28999299999998,170.249252,23624000
18,2018-11-26,174.240005,174.949997,170.259995,174.619995,172.55166599999998,44998500
19,2018-11-27,171.509995,174.770004,170.880005,174.240005,172.176163,41387400
20,2018-11-28,176.729996,181.28999299999998,174.929993,180.940002,178.796799,46062500
21,2018-11-29,182.66000400000001,182.800003,177.699997,179.550003,177.423264,41770000
22,2018-11-30,180.28999299999998,180.330002,177.029999,178.580002,176.464767,39531500
23,2018-12-03,184.46000700000002,184.940002,181.21000700000002,184.820007,182.63085900000002,40802500
24,2018-12-04,180.949997,182.389999,176.270004,176.690002,174.597153,41344300
25,2018-12-06,171.759995,174.779999,170.419998,174.720001,172.650482,43098400
26,2018-12-07,173.490005,174.490005,168.300003,168.490005,166.494278,42281600
27,2018-12-10,165.0,170.08999599999999,163.330002,169.600006,167.591125,62026000
28,2018-12-11,171.66000400000001,171.78999299999998,167.0,168.630005,166.632614,47281700
29,2018-12-12,170.399994,171.919998,169.020004,169.100006,167.097046,35627700
30,2018-12-13,170.490005,172.570007,169.550003,170.949997,168.925125,31898600
31,2018-12-14,169.0,169.080002,165.279999,165.479996,163.519913,40703700
32,2018-12-17,165.449997,168.350006,162.729996,163.940002,161.998169,44287900
33,2018-12-18,165.380005,167.529999,164.389999,166.070007,164.102936,33841500
34,2018-12-19,166.0,167.449997,159.08999599999999,160.889999,158.984299,49047300
35,2018-12-20,160.399994,162.110001,155.300003,156.830002,154.972397,64773000
36,2018-12-21,156.860001,158.16000400000001,149.630005,150.729996,148.944626,95744600
37,2018-12-24,148.149994,151.550003,146.58999599999999,146.830002,145.09083600000002,37169200
38,2018-12-26,148.300003,157.229996,146.720001,157.169998,155.30835,58582500
39,2018-12-27,155.83999599999999,156.770004,150.070007,156.149994,154.300446,53117100
40,2018-12-28,157.5,158.520004,154.550003,156.229996,154.379486,42291400
41,2018-12-31,158.529999,159.360001,156.479996,157.740005,155.871613,35003500
42,2019-01-02,154.889999,158.850006,154.229996,157.919998,156.049484,37039700
43,2019-01-03,143.979996,145.720001,142.0,142.190002,140.505798,91312200
44,2019-01-04,144.529999,148.550003,143.800003,148.259995,146.50389099999998,58607100
45,2019-01-07,148.699997,148.830002,145.899994,147.929993,146.17781100000002,54777800
46,2019-01-08,149.559998,151.820007,148.520004,150.75,148.96438600000002,41025300
47,2019-01-09,151.28999299999998,154.529999,149.630005,153.309998,151.49406399999998,45099100
48,2019-01-10,152.5,153.970001,150.860001,153.800003,151.978271,35780700
49,2019-01-11,152.880005,153.699997,151.509995,152.28999299999998,150.48616,27023200
50,2019-01-14,150.850006,151.270004,149.220001,150.0,148.223282,32439200
51,2019-01-15,150.270004,153.389999,150.050003,153.070007,151.256927,28710900
52,2019-01-16,153.080002,155.880005,153.0,154.940002,153.104782,30569700
53,2019-01-17,154.199997,157.66000400000001,153.259995,155.860001,154.01388500000002,29821200
54,2019-01-18,157.5,157.880005,155.979996,156.820007,154.962494,33751000
55,2019-01-22,156.41000400000001,156.729996,152.619995,153.300003,151.484207,30394000
56,2019-01-23,154.149994,155.139999,151.699997,153.919998,152.096848,23130600
57,2019-01-24,154.110001,154.479996,151.740005,152.699997,150.89129599999998,25441500
58,2019-01-25,155.479996,158.130005,154.320007,157.759995,155.891357,33535500
59,2019-01-28,155.78999299999998,156.330002,153.66000400000001,156.300003,154.448654,26192100
60,2019-01-29,156.25,158.130005,154.110001,154.679993,152.847839,41587200
61,2019-01-30,163.25,166.149994,160.229996,165.25,163.29264799999999,61109800
62,2019-01-31,166.110001,169.0,164.559998,166.440002,164.46856699999998,40739600
63,2019-02-01,166.96000700000002,168.979996,165.929993,166.520004,164.547607,32668100
64,2019-02-04,167.41000400000001,171.66000400000001,167.279999,171.25,169.221588,31495500
65,2019-02-05,172.860001,175.080002,172.350006,174.179993,172.11686699999998,36101600
66,2019-02-06,174.649994,175.570007,172.850006,174.240005,172.176163,28239600
67,2019-02-07,172.399994,173.940002,170.33999599999999,170.940002,168.915268,31741700
68,2019-02-08,168.990005,170.66000400000001,168.419998,170.41000400000001,169.113724,23820000
69,2019-02-11,171.050003,171.21000700000002,169.25,169.429993,168.141174,20993400
70,2019-02-12,170.100006,171.0,169.699997,170.889999,169.590073,22283500
71,2019-02-13,171.389999,172.479996,169.919998,170.179993,168.885468,22490200
72,2019-02-14,169.71000700000002,171.259995,169.380005,170.800003,169.500778,21835700
73,2019-02-15,171.25,171.699997,169.75,170.419998,169.123657,24626800
74,2019-02-19,169.71000700000002,171.440002,169.490005,170.929993,169.629761,18972800
75,2019-02-20,171.190002,173.320007,170.990005,172.029999,170.721405,26114400
76,2019-02-21,171.800003,172.369995,170.300003,171.059998,169.75878899999998,17249700
77,2019-02-22,171.580002,173.0,171.380005,172.970001,171.654251,18913200
78,2019-02-25,174.16000400000001,175.869995,173.949997,174.229996,172.904678,21873400
79,2019-02-26,173.71000700000002,175.300003,173.169998,174.330002,173.003922,17070200
80,2019-02-27,173.21000700000002,175.0,172.729996,174.869995,173.539795,27835400
81,2019-02-28,174.320007,174.91000400000001,172.919998,173.149994,171.832886,28215400
82,2019-03-01,174.279999,175.149994,172.889999,174.970001,173.639038,25886200
83,2019-03-04,175.690002,177.75,173.970001,175.850006,174.51236,27436200
84,2019-03-05,175.940002,176.0,174.53999299999998,175.529999,174.194778,19737400
85,2019-03-06,174.669998,175.490005,173.940002,174.520004,173.192474,20810400
86,2019-03-07,173.869995,174.440002,172.020004,172.5,171.187836,24796400
